0.711,1.002,0.934,0.8,0.495,0.608,0.514,0.302,0.236,0.149,0.711,1.002,0.934,0.8,0.495,0.608,0.514,0.302,0.236,0.149,2.236
0.711,1.002,0.934,0.8,0.495,0.608,0.514,0.302,0.236,0.149,0.711,1.002,0.934,0.8,0.495,0.608,0.514,0.302,0.236,0.149,2.236
0.703,1.006,0.945,0.807,0.486,0.597,0.511,0.315,0.227,0.126,0.703,1.006,0.945,0.807,0.486,0.597,0.511,0.315,0.227,0.126,1.414
0.703,1.006,0.945,0.807,0.486,0.597,0.511,0.315,0.227,0.126,0.703,1.006,0.945,0.807,0.486,0.597,0.511,0.315,0.227,0.126,1.414
0.703,1.006,0.945,0.807,0.486,0.597,0.511,0.315,0.227,0.126,0.703,1.006,0.945,0.807,0.486,0.597,0.511,0.315,0.227,0.126,1.414
0.698,1.018,0.932,0.796,0.47,0.644,0.524,0.308,0.245,0.164,0.698,1.018,0.932,0.796,0.47,0.644,0.524,0.308,0.245,0.164,1.0
0.698,1.018,0.932,0.796,0.47,0.644,0.524,0.308,0.245,0.164,0.698,1.018,0.932,0.796,0.47,0.644,0.524,0.308,0.245,0.164,1.0
0.716,1.024,0.929,0.796,0.48,0.668,0.53,0.308,0.242,0.174,0.716,1.024,0.929,0.796,0.48,0.668,0.53,0.308,0.242,0.174,1.0
0.716,1.024,0.929,0.796,0.48,0.668,0.53,0.308,0.242,0.174,0.716,1.024,0.929,0.796,0.48,0.668,0.53,0.308,0.242,0.174,1.0
0.716,1.024,0.929,0.796,0.48,0.668,0.53,0.308,0.242,0.174,0.716,1.024,0.929,0.796,0.48,0.668,0.53,0.308,0.242,0.174,1.0
0.716,1.024,0.929,0.796,0.48,0.668,0.53,0.308,0.242,0.174,0.716,1.024,0.929,0.796,0.48,0.668,0.53,0.308,0.242,0.174,1.0
0.716,1.024,0.929,0.796,0.48,0.668,0.53,0.308,0.242,0.174,0.716,1.024,0.929,0.796,0.48,0.668,0.53,0.308,0.242,0.174,1.0

1.695,2.132,0.804,0.692,1.111,1.308,0.318,0.111,0.21,1.019,1.695,2.132,0.804,0.692,1.111,1.308,0.318,0.111,0.21,1.019,122.197
1.687,2.111,0.792,0.687,1.111,1.296,0.324,0.106,0.218,1.001,1.687,2.111,0.792,0.687,1.111,1.296,0.324,0.106,0.218,1.001,124.064
1.689,2.144,0.804,0.691,1.114,1.32,0.323,0.11,0.216,1.028,1.689,2.144,0.804,0.691,1.114,1.32,0.323,0.11,0.216,1.028,122.776
1.721,2.18,0.792,0.678,1.164,1.308,0.325,0.108,0.22,1.016,1.721,2.18,0.792,0.678,1.164,1.308,0.325,0.108,0.22,1.016,124.652
1.695,2.122,0.789,0.671,1.134,1.294,0.334,0.115,0.221,0.991,1.695,2.122,0.789,0.671,1.134,1.294,0.334,0.115,0.221,0.991,125.591
1.694,2.116,0.798,0.674,1.135,1.285,0.332,0.118,0.218,0.985,1.694,2.116,0.798,0.674,1.135,1.285,0.332,0.118,0.218,0.985,125.252
1.724,2.156,0.791,0.678,1.162,1.289,0.326,0.111,0.217,0.996,1.724,2.156,0.791,0.678,1.162,1.289,0.326,0.111,0.217,0.996,123.033
1.677,2.11,0.785,0.661,1.127,1.302,0.344,0.119,0.229,0.986,1.677,2.11,0.785,0.661,1.127,1.302,0.344,0.119,0.229,0.986,123.665
1.727,2.176,0.791,0.683,1.155,1.306,0.322,0.105,0.22,1.02,1.727,2.176,0.791,0.683,1.155,1.306,0.322,0.105,0.22,1.02,123.033
1.721,2.16,0.792,0.685,1.156,1.294,0.325,0.106,0.222,1.005,1.721,2.16,0.792,0.685,1.156,1.294,0.325,0.106,0.222,1.005,123.976
1.729,2.172,0.789,0.67,1.189,1.284,0.331,0.114,0.219,0.986,1.729,2.172,0.789,0.67,1.189,1.284,0.331,0.114,0.219,0.986,124.31
1.731,2.17,0.793,0.676,1.224,1.252,0.334,0.124,0.21,0.956,1.731,2.17,0.793,0.676,1.224,1.252,0.334,0.124,0.21,0.956,123.968
1.739,2.194,0.779,0.68,1.242,1.25,0.337,0.119,0.217,0.962,1.739,2.194,0.779,0.68,1.242,1.25,0.337,0.119,0.217,0.962,122.703
1.675,2.092,0.795,0.69,1.179,1.231,0.352,0.135,0.217,0.926,1.675,2.092,0.795,0.69,1.179,1.231,0.352,0.135,0.217,0.926,122.09
1.666,2.109,0.784,0.678,1.153,1.274,0.351,0.13,0.222,0.963,1.666,2.109,0.784,0.678,1.153,1.274,0.351,0.13,0.222,0.963,119.541
