F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
0.839,0.997,0.971,0.944,0.109,1.098,0.97,0.485,0.485,0.171,0.839,0.997,0.971,0.944,0.109,1.098,0.97,0.485,0.485,0.171,18.248,B
0.869,0.978,0.974,0.936,0.098,1.266,1.236,0.971,0.307,0.275,0.869,0.978,0.974,0.936,0.098,1.266,1.236,0.971,0.307,0.275,21.024,B
0.855,0.981,0.966,0.936,0.094,1.152,1.286,0.869,0.452,0.202,0.855,0.981,0.966,0.936,0.094,1.152,1.286,0.869,0.452,0.202,21.19,B
0.857,0.986,0.96,0.938,0.093,1.457,1.286,0.728,0.589,0.319,0.857,0.986,0.96,0.938,0.093,1.457,1.286,0.728,0.589,0.319,17.029,B
0.856,0.982,0.978,0.942,0.119,1,1.09,0.767,0.325,0.153,0.856,0.982,0.978,0.942,0.119,1,1.09,0.767,0.325,0.153,19.026,B
0.892,0.978,0.966,0.929,0.078,1.749,1.715,1.213,0.542,0.343,0.892,0.978,0.966,0.929,0.078,1.749,1.715,1.213,0.542,0.343,17.72,B
0.848,0.986,0.96,0.92,0.092,1.562,1.421,0.849,0.583,0.316,0.848,0.986,0.96,0.92,0.092,1.562,1.421,0.849,0.583,0.316,21.587,B
0.848,0.979,0.96,0.932,0.105,1.265,1.24,0.754,0.511,0.248,0.848,0.979,0.96,0.932,0.105,1.265,1.24,0.754,0.511,0.248,19.925,B
0.856,0.987,0.977,0.942,0.094,1.304,1.131,0.707,0.424,0.316,0.856,0.987,0.977,0.942,0.094,1.304,1.131,0.707,0.424,0.316,18.028,B
0.857,0.989,0.985,0.943,0.093,1.14,1.131,0.849,0.283,0.141,0.857,0.989,0.985,0.943,0.093,1.14,1.131,0.849,0.283,0.141,19.105,B
0.882,0.989,0.971,0.926,0.071,1.671,1.682,0.947,0.743,0.186,0.882,0.989,0.971,0.926,0.071,1.671,1.682,0.947,0.743,0.186,16.492,B
0.856,0.971,0.966,0.935,0.093,1.178,1.286,0.869,0.452,0.319,0.856,0.971,0.966,0.935,0.093,1.178,1.286,0.869,0.452,0.319,17.117,B
0.856,0.989,0.959,0.928,0.093,1.421,1.414,0.86,0.583,0.141,0.856,0.989,0.959,0.928,0.093,1.421,1.414,0.86,0.583,0.141,17.464,B
0.862,0.989,0.966,0.953,0.124,1.132,1.106,0.826,0.343,0.108,0.862,0.989,0.966,0.953,0.124,1.132,1.106,0.826,0.343,0.108,23.409,B
0.856,0.989,0.97,0.929,0.094,1.421,1.414,0.849,0.566,0.141,0.856,0.989,0.97,0.929,0.094,1.421,1.414,0.849,0.566,0.141,18.682,B
0.872,0.989,0.977,0.958,0.109,1.177,1.144,0.784,0.372,0.124,0.872,0.989,0.977,0.958,0.109,1.177,1.144,0.784,0.372,0.124,15.033,B
0.841,0.986,0.975,0.949,0.118,1.153,1,0.804,0.247,0.247,0.841,0.986,0.975,0.949,0.118,1.153,1,0.804,0.247,0.247,19.105,B
0.891,0.986,0.967,0.939,0.088,1.52,1.342,0.907,0.471,0.333,0.891,0.986,0.967,0.939,0.088,1.52,1.342,0.907,0.471,0.333,17.029,B
0.89,0.989,0.977,0.928,0.079,1.724,1.715,1.2,0.514,0.171,0.89,0.989,0.977,0.928,0.079,1.724,1.715,1.2,0.514,0.171,17,B
0.821,0.981,0.97,0.924,0.121,0.889,1.006,0.567,0.444,0.157,0.821,0.981,0.97,0.924,0.121,0.889,1.006,0.567,0.444,0.157,20.025,B
0.853,0.989,0.978,0.939,0.094,0.99,1,0.583,0.424,0.141,0.853,0.989,0.978,0.939,0.094,0.99,1,0.583,0.424,0.141,19,B
