9.822,6.014,1.872,3.735,13.401,0.723,0.348,0.149,0.203,0.376,9.822,6.014,1.872,3.735,13.401,0.723,0.348,0.149,0.203,0.376,107.517,F
0.925,2.445,1.007,1.151,0.284,12.237,2.028,1.164,0.869,12.12,0.925,2.445,1.007,1.151,0.284,12.237,2.028,1.164,0.869,12.12,106.231,F
0.868,6.038,1.079,1.393,0.731,9.516,1.851,1.02,0.85,9.603,0.868,6.038,1.079,1.393,0.731,9.516,1.851,1.02,0.85,9.603,106.019,F
1.197,1.067,0.913,0.866,0.754,0.922,0.61,0.304,0.307,0.326,1.197,1.067,0.913,0.866,0.754,0.922,0.61,0.304,0.307,0.326,112.446,G
1.159,1.063,0.912,0.862,0.71,0.988,0.653,0.32,0.334,0.353,1.159,1.063,0.912,0.862,0.71,0.988,0.653,0.32,0.334,0.353,111.396,G
1.143,1.074,0.895,0.846,0.69,1.018,0.688,0.344,0.344,0.344,1.143,1.074,0.895,0.846,0.69,1.018,0.688,0.344,0.344,0.344,109.124,G
1.13,1.071,0.921,0.886,0.662,1.035,0.677,0.327,0.351,0.368,1.13,1.071,0.921,0.886,0.662,1.035,0.677,0.327,0.351,0.368,109.041,G
1.186,1.07,0.923,0.888,0.714,0.996,0.651,0.324,0.327,0.357,1.186,1.07,0.923,0.888,0.714,0.996,0.651,0.324,0.327,0.357,114.865,G
1.139,1.068,0.902,0.857,0.675,1.007,0.671,0.32,0.351,0.351,1.139,1.068,0.902,0.857,0.675,1.007,0.671,0.32,0.351,0.351,110.535,G
1.168,1.07,0.92,0.897,0.69,1.014,0.679,0.339,0.339,0.343,1.168,1.07,0.92,0.897,0.69,1.014,0.679,0.339,0.339,0.343,112.699,G
1.138,1.06,0.913,0.881,0.66,1.076,0.719,0.354,0.366,0.372,1.138,1.06,0.913,0.881,0.66,1.076,0.719,0.354,0.366,0.372,113.864,G
1.177,1.066,0.919,0.883,0.741,0.969,0.658,0.322,0.336,0.322,1.177,1.066,0.919,0.883,0.741,0.969,0.658,0.322,0.336,0.322,112.161,G
1.166,1.058,0.912,0.888,0.694,1.004,0.665,0.328,0.336,0.354,1.166,1.058,0.912,0.888,0.694,1.004,0.665,0.328,0.336,0.354,112.805,G
1.146,1.056,0.918,0.89,0.702,1.009,0.675,0.332,0.343,0.349,1.146,1.056,0.918,0.89,0.702,1.009,0.675,0.332,0.343,0.349,109.877,G
1.164,1.047,0.913,0.881,0.681,0.973,0.653,0.317,0.336,0.338,1.164,1.047,0.913,0.881,0.681,0.973,0.653,0.317,0.336,0.338,112.929,G
1.157,1.066,0.91,0.869,0.695,0.97,0.643,0.321,0.321,0.341,1.157,1.066,0.91,0.869,0.695,0.97,0.643,0.321,0.321,0.341,109.986,G
1.169,1.064,0.91,0.884,0.705,0.996,0.666,0.329,0.337,0.343,1.169,1.064,0.91,0.884,0.705,0.996,0.666,0.329,0.337,0.343,112.929,G
1.176,1.057,0.919,0.89,0.736,0.966,0.649,0.314,0.335,0.33,1.176,1.057,0.919,0.89,0.736,0.966,0.649,0.314,0.335,0.33,112.929,G
1.222,1.053,0.906,0.87,0.757,0.889,0.607,0.295,0.312,0.297,1.222,1.053,0.906,0.87,0.757,0.889,0.607,0.295,0.312,0.297,115.802,G
1.217,1.051,0.926,0.902,0.778,0.913,0.606,0.293,0.313,0.321,1.217,1.051,0.926,0.902,0.778,0.913,0.606,0.293,0.313,0.321,117.004,G
1.158,1.058,0.911,0.878,0.683,0.981,0.665,0.323,0.342,0.329,1.158,1.058,0.911,0.878,0.683,0.981,0.665,0.323,0.342,0.329,116.276,G
1.161,1.063,0.91,0.888,0.671,1.03,0.692,0.333,0.36,0.349,1.161,1.063,0.91,0.888,0.671,1.03,0.692,0.333,0.36,0.349,118.343,G
1.124,1.055,0.896,0.863,0.647,1.054,0.718,0.35,0.368,0.355,1.124,1.055,0.896,0.863,0.647,1.054,0.718,0.35,0.368,0.355,114.691,G
1.184,1.065,0.925,0.894,0.716,0.942,0.624,0.301,0.323,0.327,1.184,1.065,0.925,0.894,0.716,0.942,0.624,0.301,0.323,0.327,114.477,G
0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,105.546,H
0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,105.546,H
0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,105.546,H
0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,105.546,H
0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,105.546,H
0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,105.546,H
0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,105.546,H
0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,105.546,H
0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,105.546,H
0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,0.739,0.982,0.878,0.602,0.481,1.014,1.002,0.706,0.297,0.107,105.546,H
