0.917,1.02,0.97,0.909,0.159,0.695,0.59,0.439,0.206,0.2,0.917,1.02,0.97,0.909,0.159,0.695,0.59,0.439,0.206,0.2,11.402
0.909,1.007,0.969,0.915,0.172,0.587,0.542,0.429,0.192,0.045,0.909,1.007,0.969,0.915,0.172,0.587,0.542,0.429,0.192,0.045,15.0
0.897,1.027,0.962,0.901,0.148,0.851,0.693,0.477,0.264,0.236,0.897,1.027,0.962,0.901,0.148,0.851,0.693,0.477,0.264,0.236,14.036
0.884,1.003,0.97,0.912,0.173,0.544,0.539,0.412,0.19,0.045,0.884,1.003,0.97,0.912,0.173,0.544,0.539,0.412,0.19,0.045,17.117
0.901,1.023,0.962,0.897,0.143,0.879,0.763,0.555,0.272,0.277,0.901,1.023,0.962,0.897,0.143,0.879,0.763,0.555,0.272,0.277,13.153
0.911,1.013,0.972,0.921,0.181,0.563,0.527,0.427,0.156,0.097,0.911,1.013,0.972,0.921,0.181,0.563,0.527,0.427,0.156,0.097,13.0
0.903,1.019,0.96,0.901,0.155,0.767,0.691,0.532,0.279,0.204,0.903,1.019,0.96,0.901,0.155,0.767,0.691,0.532,0.279,0.204,12.0
0.906,1.017,0.969,0.919,0.171,0.579,0.506,0.378,0.194,0.145,0.906,1.017,0.969,0.919,0.171,0.579,0.506,0.378,0.194,0.145,15.0
0.912,1.034,0.972,0.916,0.176,0.672,0.544,0.429,0.163,0.286,0.912,1.034,0.972,0.916,0.176,0.672,0.544,0.429,0.163,0.286,15.033
0.894,1.007,0.969,0.907,0.172,0.641,0.595,0.478,0.194,0.046,0.894,1.007,0.969,0.907,0.172,0.641,0.595,0.478,0.194,0.046,16.0
0.894,1.006,0.967,0.912,0.167,0.573,0.558,0.439,0.232,0.093,0.894,1.006,0.967,0.912,0.167,0.573,0.558,0.439,0.232,0.093,15.297
0.919,1.027,0.975,0.92,0.186,0.604,0.52,0.405,0.135,0.191,0.919,1.027,0.975,0.92,0.186,0.604,0.52,0.405,0.135,0.191,13.038
0.902,1.006,0.972,0.912,0.167,0.583,0.575,0.442,0.173,0.096,0.902,1.006,0.972,0.912,0.167,0.583,0.575,0.442,0.173,0.096,15.0
0.885,1.02,0.969,0.914,0.159,0.663,0.553,0.399,0.21,0.204,0.885,1.02,0.969,0.914,0.159,0.663,0.553,0.399,0.21,0.204,16.125
0.911,1.014,0.977,0.914,0.173,0.632,0.542,0.472,0.163,0.09,0.911,1.014,0.977,0.914,0.173,0.632,0.542,0.472,0.163,0.09,12.369

0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,0.932,1.011,0.968,0.911,0.151,0.697,0.638,0.489,0.225,0.075,11.045
