F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
0.868,1.025,0.944,0.916,0.058,2.815,2.124,0.563,1.608,0.698,0.868,1.025,0.944,0.916,0.058,2.815,2.124,0.563,1.608,0.698,21.378,B
0.841,1.014,0.953,0.906,0.07,2.259,1.866,0.707,1.293,0.415,0.841,1.014,0.953,0.906,0.07,2.259,1.866,0.707,1.293,0.415,26.077,B
0.884,1.021,0.951,0.913,0.054,2.951,2.473,0.767,1.847,0.485,0.884,1.021,0.951,0.913,0.054,2.951,2.473,0.767,1.847,0.485,21.378,B
0.854,1.036,0.956,0.921,0.078,1.892,1.162,0.52,1.04,0.78,0.854,1.036,0.956,0.921,0.078,1.892,1.162,0.52,1.04,0.78,23.537,B
0.853,1.015,0.955,0.909,0.07,2.203,1.723,0.689,1.145,0.528,0.853,1.015,0.955,0.909,0.07,2.203,1.723,0.689,1.145,0.528,23.087,B
0.84,1.025,0.945,0.89,0.078,2.057,1.581,0.697,1.097,0.52,0.84,1.025,0.945,0.89,0.078,2.057,1.581,0.697,1.097,0.52,23.345,B
0.852,1.037,0.946,0.919,0.075,2.112,1.319,0.392,1.17,0.832,0.852,1.037,0.946,0.919,0.075,2.112,1.319,0.392,1.17,0.832,24.021,B
0.88,1.026,0.955,0.918,0.051,3.041,2.129,0.707,1.741,0.952,0.88,1.026,0.955,0.918,0.051,3.041,2.129,0.707,1.741,0.952,19.105,B
0.868,1.027,0.954,0.906,0.046,3.72,2.691,1.077,1.789,1.077,0.868,1.027,0.954,0.906,0.046,3.72,2.691,1.077,1.789,1.077,20.1,B
0.88,1.017,0.954,0.928,0.07,2.065,1.46,0.384,1.261,0.653,0.88,1.017,0.954,0.928,0.07,2.065,1.46,0.384,1.261,0.653,18.439,B
0.86,1.025,0.945,0.908,0.058,2.66,1.988,0.644,1.473,0.698,0.86,1.025,0.945,0.908,0.058,2.66,1.988,0.644,1.473,0.698,19.105,B
0.878,1.028,0.953,0.917,0.052,3.187,2.129,0.707,1.741,1.118,0.878,1.028,0.953,0.917,0.052,3.187,2.129,0.707,1.741,1.118,20.224,B
0.866,1.047,0.952,0.916,0.066,2.608,1.6,0.583,1.393,1.02,0.866,1.047,0.952,0.916,0.066,2.608,1.6,0.583,1.393,1.02,23.087,B
0.876,1.025,0.953,0.915,0.046,3.606,2.72,0.894,1.97,0.894,0.876,1.025,0.953,0.915,0.046,3.606,2.72,0.894,1.97,0.894,19.105,B
0.877,1.029,0.953,0.935,0.066,2.357,1.5,0.277,1.366,0.877,0.877,1.029,0.953,0.935,0.066,2.357,1.5,0.277,1.366,0.877,21.024,B
0.876,1.034,0.962,0.933,0.066,2.426,1.738,0.5,1.316,0.693,0.876,1.034,0.962,0.933,0.066,2.426,1.738,0.5,1.316,0.693,20.1,B
0.911,1.033,0.962,0.94,0.04,4.007,3.064,1.054,2.014,1,0.911,1.033,0.962,0.94,0.04,4.007,3.064,1.054,2.014,1,21.378,B
0.887,1.014,0.954,0.926,0.046,2.884,2.28,0.632,1.789,0.632,0.887,1.014,0.954,0.926,0.046,2.884,2.28,0.632,1.789,0.632,22.091,B
0.859,1.025,0.963,0.925,0.068,2.172,1.566,0.566,1.174,0.614,0.859,1.025,0.963,0.925,0.068,2.172,1.566,0.566,1.174,0.614,24.021,B
0.866,1.034,0.952,0.924,0.072,2.203,1.563,0.405,1.261,0.64,0.866,1.034,0.952,0.924,0.072,2.203,1.563,0.405,1.261,0.64,23.195,B
0.906,1.015,0.965,0.937,0.07,1.824,1.313,0.415,1,0.541,0.906,1.015,0.965,0.937,0.07,1.824,1.313,0.415,1,0.541,17.088,B
0.884,1.044,0.963,0.943,0.064,2.357,1.535,0.422,1.135,0.843,0.884,1.044,0.963,0.943,0.064,2.357,1.535,0.422,1.135,0.843,21.024,B
0.863,1.026,0.942,0.921,0.062,2.737,2.071,0.537,1.535,0.667,0.863,1.026,0.942,0.921,0.062,2.737,2.071,0.537,1.535,0.667,21.095,B
0.858,1.023,0.953,0.923,0.07,2.297,1.824,0.557,1.293,0.473,0.858,1.023,0.953,0.923,0.07,2.297,1.824,0.557,1.293,0.473,23.087,B
0.843,1.017,0.946,0.9,0.065,2.469,1.866,0.707,1.308,0.707,0.843,1.017,0.946,0.9,0.065,2.469,1.866,0.707,1.308,0.707,20.025,B
0.874,1.016,0.951,0.912,0.046,3.847,3.053,1,2.154,0.825,0.874,1.016,0.951,0.912,0.046,3.847,3.053,1,2.154,0.825,21.024,B
0.859,1.014,0.954,0.934,0.078,1.728,1.365,0.331,1.047,0.37,0.859,1.014,0.954,0.934,0.078,1.728,1.365,0.331,1.047,0.37,23.195,B
0.868,1.027,0.945,0.909,0.066,2.257,1.581,0.572,1.308,0.747,0.868,1.027,0.945,0.909,0.066,2.257,1.581,0.572,1.308,0.747,19.235,B
0.868,1.005,0.954,0.916,0.053,2.765,2.333,0.857,1.534,0.514,0.868,1.005,0.954,0.916,0.053,2.765,2.333,0.857,1.534,0.514,21,B
0.882,1.035,0.96,0.949,0.075,2.053,1.452,0.277,1.177,0.62,0.882,1.035,0.96,0.949,0.075,2.053,1.452,0.277,1.177,0.62,21.024,B
0.869,1.025,0.954,0.917,0.058,2.561,1.881,0.644,1.397,0.698,0.869,1.025,0.954,0.917,0.058,2.561,1.881,0.644,1.397,0.698,22.361,B
0.874,1.027,0.952,0.924,0.073,2.131,1.46,0.384,1.261,0.689,0.874,1.027,0.952,0.924,0.073,2.131,1.46,0.384,1.261,0.689,20.224,B
0.859,1.017,0.963,0.925,0.079,1.976,1.419,0.479,1.103,0.593,0.859,1.017,0.963,0.925,0.079,1.976,1.419,0.479,1.103,0.593,24.187,B
0.866,1.023,0.954,0.907,0.067,2.157,1.67,0.707,1.118,0.5,0.866,1.023,0.954,0.907,0.067,2.157,1.67,0.707,1.118,0.5,23.087,B
0.883,1.023,0.961,0.931,0.059,2.655,2.095,0.663,1.482,0.563,0.883,1.023,0.961,0.931,0.059,2.655,2.095,0.663,1.482,0.563,22.361,B
0.876,1.025,0.962,0.924,0.05,3.248,2.421,0.83,1.762,0.83,0.876,1.025,0.962,0.924,0.05,3.248,2.421,0.83,1.762,0.83,23.087,B
0.85,1.005,0.945,0.891,0.073,1.93,1.687,0.744,1.17,0.372,0.85,1.005,0.945,0.891,0.073,1.93,1.687,0.744,1.17,0.372,21.213,B
0.858,1.016,0.945,0.907,0.065,2.319,1.8,0.583,1.334,0.583,0.858,1.016,0.945,0.907,0.065,2.319,1.8,0.583,1.334,0.583,25.179,B
0.855,1.014,0.952,0.904,0.059,2.687,2.22,0.841,1.538,0.494,0.855,1.014,0.952,0.904,0.059,2.687,2.22,0.841,1.538,0.494,17.029,B
0.851,1.014,0.956,0.918,0.084,1.542,1.227,0.447,0.874,0.343,0.851,1.014,0.956,0.918,0.084,1.542,1.227,0.447,0.874,0.343,22.361,B
