1.717,1.064,0.915,0.795,1.333,0.493,0.349,0.194,0.158,0.156,1.717,1.064,0.915,0.795,1.333,0.493,0.349,0.194,0.158,0.156,25.0
1.693,1.103,0.912,0.834,1.308,0.53,0.373,0.214,0.16,0.158,1.693,1.103,0.912,0.834,1.308,0.53,0.373,0.214,0.16,0.158,30.017
1.755,1.085,0.936,0.832,1.34,0.497,0.344,0.205,0.142,0.157,1.755,1.085,0.936,0.832,1.34,0.497,0.344,0.205,0.142,0.157,24.0
1.767,1.106,0.93,0.823,1.361,0.489,0.336,0.186,0.155,0.155,1.767,1.106,0.93,0.823,1.361,0.489,0.336,0.186,0.155,0.155,22.0
1.786,1.11,0.931,0.843,1.4,0.497,0.344,0.207,0.138,0.153,1.786,1.11,0.931,0.843,1.4,0.497,0.344,0.207,0.138,0.153,23.022
1.72,1.111,0.937,0.845,1.352,0.53,0.358,0.204,0.158,0.173,1.72,1.111,0.937,0.845,1.352,0.53,0.358,0.204,0.158,0.173,24.083
1.801,1.126,0.934,0.849,1.398,0.489,0.332,0.195,0.139,0.157,1.801,1.126,0.934,0.849,1.398,0.489,0.332,0.195,0.139,0.157,23.022
1.795,1.087,0.918,0.814,1.434,0.506,0.373,0.21,0.167,0.136,1.795,1.087,0.918,0.814,1.434,0.506,0.373,0.21,0.167,0.136,24.0
1.796,1.119,0.903,0.779,1.444,0.506,0.351,0.193,0.161,0.159,1.796,1.119,0.903,0.779,1.444,0.506,0.351,0.193,0.161,0.159,23.0
1.715,1.12,0.936,0.823,1.374,0.54,0.362,0.215,0.151,0.181,1.715,1.12,0.936,0.823,1.374,0.54,0.362,0.215,0.151,0.181,24.0
1.713,1.106,0.909,0.83,1.322,0.534,0.376,0.215,0.161,0.159,1.713,1.106,0.909,0.83,1.322,0.534,0.376,0.215,0.161,0.159,28.018
1.677,1.077,0.908,0.799,1.272,0.494,0.355,0.194,0.163,0.144,1.677,1.077,0.908,0.799,1.272,0.494,0.355,0.194,0.163,0.144,21.095
1.794,1.13,0.929,0.848,1.407,0.511,0.352,0.197,0.157,0.159,1.794,1.13,0.929,0.848,1.407,0.511,0.352,0.197,0.157,0.159,25.02
1.726,1.109,0.914,0.795,1.365,0.505,0.345,0.198,0.15,0.163,1.726,1.109,0.914,0.795,1.365,0.505,0.345,0.198,0.15,0.163,22.0
1.684,1.106,0.93,0.809,1.303,0.546,0.386,0.23,0.161,0.161,1.684,1.106,0.93,0.809,1.303,0.546,0.386,0.23,0.161,0.161,28.018
1.65,1.061,0.916,0.811,1.288,0.546,0.398,0.225,0.176,0.158,1.65,1.061,0.916,0.811,1.288,0.546,0.398,0.225,0.176,0.158,31.016
1.62,1.082,0.912,0.818,1.238,0.549,0.391,0.212,0.182,0.163,1.62,1.082,0.912,0.818,1.238,0.549,0.391,0.212,0.182,0.163,27.019
1.801,1.118,0.931,0.831,1.426,0.509,0.344,0.196,0.152,0.167,1.801,1.118,0.931,0.831,1.426,0.509,0.344,0.196,0.152,0.167,23.022
1.678,1.095,0.902,0.808,1.263,0.519,0.357,0.185,0.173,0.166,1.678,1.095,0.902,0.808,1.263,0.519,0.357,0.185,0.173,0.166,34.059
1.728,1.082,0.914,0.815,1.346,0.49,0.345,0.194,0.153,0.15,1.728,1.082,0.914,0.815,1.346,0.49,0.345,0.194,0.153,0.15,21.0
1.705,1.098,0.906,0.8,1.292,0.531,0.387,0.224,0.164,0.146,1.705,1.098,0.906,0.8,1.292,0.531,0.387,0.224,0.164,0.146,26.019
1.794,1.114,0.95,0.839,1.397,0.508,0.352,0.217,0.14,0.157,1.794,1.114,0.95,0.839,1.397,0.508,0.352,0.217,0.14,0.157,25.02
1.753,1.088,0.909,0.806,1.369,0.501,0.353,0.199,0.156,0.153,1.753,1.088,0.909,0.806,1.369,0.501,0.353,0.199,0.156,0.153,26.0
1.671,1.086,0.918,0.831,1.293,0.534,0.37,0.2,0.172,0.169,1.671,1.086,0.918,0.831,1.293,0.534,0.37,0.2,0.172,0.169,24.021
1.796,1.091,0.903,0.797,1.417,0.481,0.339,0.177,0.164,0.147,1.796,1.091,0.903,0.797,1.417,0.481,0.339,0.177,0.164,0.147,18.0
1.691,1.097,0.896,0.827,1.307,0.527,0.373,0.196,0.177,0.156,1.691,1.097,0.896,0.827,1.307,0.527,0.373,0.196,0.177,0.156,26.019
1.733,1.078,0.909,0.838,1.384,0.524,0.367,0.202,0.166,0.164,1.733,1.078,0.909,0.838,1.384,0.524,0.367,0.202,0.166,0.164,22.023

0.9,0.977,1.016,1.015,0.117,0.899,1.0,0.807,0.237,0.237,0.9,0.977,1.016,1.015,0.117,0.899,1.0,0.807,0.237,0.237,17.117
0.885,0.967,1.005,0.986,0.105,0.744,0.846,0.707,0.164,0.329,0.885,0.967,1.005,0.986,0.105,0.744,0.846,0.707,0.164,0.329,17.464
0.894,0.978,0.989,0.992,0.099,0.62,0.784,0.555,0.248,0.277,0.894,0.978,0.989,0.992,0.099,0.62,0.784,0.555,0.248,0.277,19.647
0.91,0.973,1.0,0.981,0.087,0.5,0.844,0.844,0.0,0.439,0.91,0.973,1.0,0.981,0.087,0.5,0.844,0.844,0.0,0.439,17.117
