F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,Alphabet
1.385,2.198,0.949,0.875,1.057,1.441,0.455,0.23,0.232,1.136,1.385,2.198,0.949,0.875,1.057,1.441,0.455,0.23,0.232,1.136,60.926,2
1.39,2.248,0.966,0.875,1.071,1.477,0.449,0.238,0.223,1.169,1.39,2.248,0.966,0.875,1.071,1.477,0.449,0.238,0.223,1.169,64.078,2
1.38,2.216,0.957,0.859,1.046,1.475,0.453,0.24,0.225,1.164,1.38,2.216,0.957,0.859,1.046,1.475,0.453,0.24,0.225,1.164,61.847,2
1.343,2.19,0.969,0.901,0.999,1.483,0.439,0.214,0.235,1.196,1.343,2.19,0.969,0.901,0.999,1.483,0.439,0.214,0.235,1.196,61.327,2
1.398,2.215,0.972,0.875,1.053,1.466,0.456,0.231,0.242,1.156,1.398,2.215,0.972,0.875,1.053,1.466,0.456,0.231,0.242,1.156,60.926,2
1.378,2.178,0.965,0.889,1.029,1.443,0.45,0.232,0.228,1.147,1.378,2.178,0.965,0.889,1.029,1.443,0.45,0.232,0.228,1.147,60.008,2
1.333,2.159,0.949,0.865,1.007,1.457,0.448,0.221,0.236,1.152,1.333,2.159,0.949,0.865,1.007,1.457,0.448,0.221,0.236,1.152,63.071,2
1.353,2.174,0.928,0.828,1.035,1.469,0.443,0.228,0.223,1.137,1.353,2.174,0.928,0.828,1.035,1.469,0.443,0.228,0.223,1.137,63.977,2
1.387,2.212,0.965,0.889,1.057,1.432,0.438,0.226,0.222,1.149,1.387,2.212,0.965,0.889,1.057,1.432,0.438,0.226,0.222,1.149,63.071,2
1.382,2.135,0.967,0.88,1.041,1.393,0.432,0.236,0.206,1.095,1.382,2.135,0.967,0.88,1.041,1.393,0.432,0.236,0.206,1.095,61.27,2
1.376,2.14,0.965,0.879,1.012,1.431,0.436,0.22,0.228,1.131,1.376,2.14,0.965,0.879,1.012,1.431,0.436,0.22,0.228,1.131,60.836,2
1.399,2.211,0.949,0.875,1.062,1.444,0.445,0.224,0.227,1.143,1.399,2.211,0.949,0.875,1.062,1.444,0.445,0.224,0.227,1.143,57.697,2
1.387,2.133,0.938,0.837,1.023,1.434,0.479,0.242,0.248,1.108,1.387,2.133,0.938,0.837,1.023,1.434,0.479,0.242,0.248,1.108,59.615,2
1.39,2.18,0.961,0.867,1.054,1.43,0.449,0.238,0.223,1.121,1.39,2.18,0.961,0.867,1.054,1.43,0.449,0.238,0.223,1.121,60.008,2
1.393,2.273,0.973,0.887,1.062,1.486,0.429,0.233,0.208,1.202,1.393,2.273,0.973,0.887,1.062,1.486,0.429,0.233,0.208,1.202,63.159,2
1.358,2.112,0.951,0.875,1.014,1.411,0.473,0.232,0.25,1.098,1.358,2.112,0.951,0.875,1.014,1.411,0.473,0.232,0.25,1.098,61.327,2
1.446,2.278,0.973,0.858,1.117,1.444,0.433,0.249,0.201,1.146,1.446,2.278,0.973,0.858,1.117,1.444,0.433,0.249,0.201,1.146,59.506,2
1.395,2.256,0.962,0.868,1.063,1.496,0.461,0.244,0.229,1.184,1.395,2.256,0.962,0.868,1.063,1.496,0.461,0.244,0.229,1.184,61.741,2
1.394,2.196,0.949,0.866,1.104,1.387,0.423,0.209,0.222,1.088,1.394,2.196,0.949,0.866,1.104,1.387,0.423,0.209,0.222,1.088,63.561,2
1.336,2.112,0.943,0.845,1.004,1.445,0.48,0.243,0.248,1.11,1.336,2.112,0.943,0.845,1.004,1.445,0.48,0.243,0.248,1.11,58.873,2
1.36,2.176,0.944,0.865,1.048,1.437,0.438,0.228,0.216,1.127,1.36,2.176,0.944,0.865,1.048,1.437,0.438,0.228,0.216,1.127,62.769,2
1.412,2.258,0.969,0.879,1.058,1.472,0.431,0.234,0.209,1.191,1.412,2.258,0.969,0.879,1.058,1.472,0.431,0.234,0.209,1.191,60.539,2
1.37,2.197,0.955,0.878,1.002,1.529,0.441,0.225,0.224,1.206,1.37,2.197,0.955,0.878,1.002,1.529,0.441,0.225,0.224,1.206,60.083,2
1.345,2.235,0.957,0.867,1.053,1.506,0.444,0.227,0.228,1.182,1.345,2.235,0.957,0.867,1.053,1.506,0.444,0.227,0.228,1.182,63.325,2
1.348,2.166,0.947,0.859,1.027,1.45,0.461,0.221,0.251,1.136,1.348,2.166,0.947,0.859,1.027,1.45,0.461,0.221,0.251,1.136,63.695,2
1.398,2.256,0.968,0.882,1.1,1.433,0.436,0.214,0.236,1.144,1.398,2.256,0.968,0.882,1.1,1.433,0.436,0.214,0.236,1.144,65.391,2
1.369,2.231,0.966,0.875,1.047,1.499,0.459,0.244,0.228,1.18,1.369,2.231,0.966,0.875,1.047,1.499,0.459,0.244,0.228,1.18,62.968,2
1.341,2.179,0.953,0.85,0.996,1.502,0.454,0.248,0.217,1.185,1.341,2.179,0.953,0.85,0.996,1.502,0.454,0.248,0.217,1.185,63.695,2
1.366,2.219,0.946,0.868,1.054,1.477,0.471,0.231,0.248,1.158,1.366,2.219,0.946,0.868,1.054,1.477,0.471,0.231,0.248,1.158,63.695,2
1.336,2.179,0.957,0.864,1.007,1.47,0.44,0.222,0.23,1.173,1.336,2.179,0.957,0.864,1.007,1.47,0.44,0.222,0.23,1.173,64.622,2
1.366,2.244,0.964,0.888,1.035,1.509,0.44,0.234,0.215,1.208,1.366,2.244,0.964,0.888,1.035,1.509,0.44,0.234,0.215,1.208,63.325,2
1.346,2.163,0.957,0.873,1.015,1.438,0.45,0.232,0.228,1.147,1.346,2.163,0.957,0.873,1.015,1.438,0.45,0.232,0.228,1.147,64.078,2
1.348,2.197,0.961,0.872,0.984,1.528,0.457,0.231,0.239,1.219,1.348,2.197,0.961,0.872,0.984,1.528,0.457,0.231,0.239,1.219,60.745,2
1.343,2.133,0.951,0.871,1.026,1.422,0.425,0.217,0.216,1.112,1.343,2.133,0.951,0.871,1.026,1.422,0.425,0.217,0.216,1.112,64.078,2
