1.268,2.093,0.876,0.742,0.566,2.847,0.624,0.343,0.281,2.23,1.268,2.093,0.876,0.742,0.566,2.847,0.624,0.343,0.281,2.23,140.428,
1.198,2.105,0.887,0.739,0.515,3.174,0.695,0.4,0.296,2.488,1.198,2.105,0.887,0.739,0.515,3.174,0.695,0.4,0.296,2.488,138.514,
1.195,2.089,0.864,0.728,0.509,3.168,0.695,0.382,0.315,2.487,1.195,2.089,0.864,0.728,0.509,3.168,0.695,0.382,0.315,2.487,138.514,
1.285,2.103,0.877,0.754,0.562,2.891,0.591,0.319,0.272,2.312,1.285,2.103,0.877,0.754,0.562,2.891,0.591,0.319,0.272,2.312,141.057,
1.255,2.044,0.868,0.75,0.545,2.895,0.627,0.338,0.291,2.281,1.255,2.044,0.868,0.75,0.545,2.895,0.627,0.338,0.291,2.281,141.23,
1.26,2.052,0.866,0.731,0.563,2.795,0.601,0.316,0.285,2.215,1.26,2.052,0.866,0.731,0.563,2.795,0.601,0.316,0.285,2.215,139.262,
1.173,2.108,0.874,0.737,0.516,3.177,0.686,0.387,0.299,2.503,1.173,2.108,0.874,0.737,0.516,3.177,0.686,0.387,0.299,2.503,136.308,
1.3,2.107,0.872,0.735,0.604,2.705,0.6,0.315,0.285,2.112,1.3,2.107,0.872,0.735,0.604,2.705,0.6,0.315,0.285,2.112,139.904,
1.283,2.107,0.885,0.75,0.567,2.887,0.64,0.368,0.272,2.25,1.283,2.107,0.885,0.75,0.567,2.887,0.64,0.368,0.272,2.25,141.411,
1.262,2.061,0.874,0.752,0.536,2.92,0.641,0.329,0.313,2.284,1.262,2.061,0.874,0.752,0.536,2.92,0.641,0.329,0.313,2.284,142.215,
1.275,2.06,0.877,0.745,0.562,2.802,0.621,0.342,0.279,2.188,1.275,2.06,0.877,0.745,0.562,2.802,0.621,0.342,0.279,2.188,141.411,
1.264,2.065,0.877,0.745,0.54,2.937,0.655,0.36,0.295,2.289,1.264,2.065,0.877,0.745,0.54,2.937,0.655,0.36,0.295,2.289,145.527,
1.291,2.059,0.878,0.736,0.575,2.781,0.632,0.355,0.277,2.158,1.291,2.059,0.878,0.736,0.575,2.781,0.632,0.355,0.277,2.158,146.973,
1.287,2.084,0.879,0.748,0.555,2.911,0.618,0.341,0.276,2.305,1.287,2.084,0.879,0.748,0.555,2.911,0.618,0.341,0.276,2.305,147.313,
1.172,2.079,0.881,0.736,0.516,3.128,0.658,0.381,0.278,2.493,1.172,2.079,0.881,0.736,0.516,3.128,0.658,0.381,0.278,2.493,134.893,
1.319,2.076,0.879,0.735,0.601,2.66,0.578,0.313,0.266,2.094,1.319,2.076,0.879,0.735,0.601,2.66,0.578,0.313,0.266,2.094,145,
1.274,2.111,0.875,0.727,0.578,2.851,0.63,0.348,0.283,2.231,1.274,2.111,0.875,0.727,0.578,2.851,0.63,0.348,0.283,2.231,141.792,
1.269,2.036,0.87,0.741,0.566,2.768,0.607,0.326,0.281,2.175,1.269,2.036,0.87,0.741,0.566,2.768,0.607,0.326,0.281,2.175,139.445,
1.236,2.054,0.891,0.738,0.525,3.017,0.7,0.417,0.284,2.323,1.236,2.054,0.891,0.738,0.525,3.017,0.7,0.417,0.284,2.323,145.344,
1.263,2.04,0.867,0.727,0.556,2.834,0.662,0.362,0.3,2.182,1.263,2.04,0.867,0.727,0.556,2.834,0.662,0.362,0.3,2.182,146.509,
1.222,2.088,0.889,0.745,0.523,3.091,0.686,0.412,0.274,2.411,1.222,2.088,0.889,0.745,0.523,3.091,0.686,0.412,0.274,2.411,138.975,
1.252,2.065,0.875,0.745,0.55,2.896,0.676,0.37,0.306,2.222,1.252,2.065,0.875,0.745,0.55,2.896,0.676,0.37,0.306,2.222,140.246,
1.254,2.069,0.865,0.736,0.544,2.953,0.668,0.358,0.31,2.295,1.254,2.069,0.865,0.736,0.544,2.953,0.668,0.358,0.31,2.295,143.951,
1.294,2.083,0.892,0.737,0.579,2.795,0.614,0.369,0.245,2.191,1.294,2.083,0.892,0.737,0.579,2.795,0.614,0.369,0.245,2.191,145.169,
1.294,2.083,0.892,0.749,0.57,2.827,0.608,0.359,0.249,2.227,1.294,2.083,0.892,0.749,0.57,2.827,0.608,0.359,0.249,2.227,144.544,
1.283,2.086,0.868,0.738,0.567,2.855,0.613,0.329,0.284,2.257,1.283,2.086,0.868,0.738,0.567,2.855,0.613,0.329,0.284,2.257,145.344,
,,,,,,,,,,,,,,,,,,,,,
1.09,2.023,0.886,0.85,0.655,2.469,0.68,0.358,0.325,1.804,1.09,2.023,0.886,0.85,0.655,2.469,0.68,0.358,0.325,1.804,57.315,2
1.134,2.072,0.889,0.886,0.614,2.67,0.775,0.383,0.397,1.943,1.134,2.072,0.889,0.886,0.614,2.67,0.775,0.383,0.397,1.943,60.44,
1.217,2.223,0.902,0.947,0.641,2.716,0.812,0.396,0.423,2.032,1.217,2.223,0.902,0.947,0.641,2.716,0.812,0.396,0.423,2.032,59.203,
1.161,2.194,0.935,0.943,0.624,2.792,0.774,0.429,0.345,2.104,1.161,2.194,0.935,0.943,0.624,2.792,0.774,0.429,0.345,2.104,61.033,
1.171,2.247,0.948,0.961,0.628,2.858,0.825,0.442,0.383,2.15,1.171,2.247,0.948,0.961,0.628,2.858,0.825,0.442,0.383,2.15,61.612,
1.108,2.082,0.909,0.91,0.62,2.668,0.767,0.381,0.388,1.955,1.108,2.082,0.909,0.91,0.62,2.668,0.767,0.381,0.388,1.955,61.221,
1.163,2.208,0.936,0.926,0.634,2.748,0.831,0.416,0.415,2.031,1.163,2.208,0.936,0.926,0.634,2.748,0.831,0.416,0.415,2.031,61.4,
1.06,2.038,0.897,0.853,0.566,2.83,0.771,0.41,0.362,2.082,1.06,2.038,0.897,0.853,0.566,2.83,0.771,0.41,0.362,2.082,62.626,
1.111,2.125,0.902,0.871,0.61,2.736,0.837,0.419,0.419,1.976,1.111,2.125,0.902,0.871,0.61,2.736,0.837,0.419,0.419,1.976,61.221,
